thôn pác phàn|thon pac phan
thôn pò rì|thon po ri
thôn sắc sái|thon sac sai
thôn khau vang|thon khau vang
thôn nà chè|thon na che
thôn nà đeng|thon na deng
thôn nà khưa|thon na khua
thôn nà nưa|thon na nua
thôn nà sla|thon na sla
thôn nặm dắm|thon nam dam
thôn phia đén|phja đén|thon phia den|phja den
thôn pò nim|thon po nim
thôn chợ chùa|thon cho chua
thôn kẹn cò|thon ken co
khu khuổi duốc|khu khuoi duoc
thôn pò pái|thon po pai
thôn khuổi nà|thon khuoi na
khu khuổi tè|khu khuoi te
khu khuổi trác|khu khuoi trac
khu lũng hản|khu lung han
thôn lũng tao|thon lung tao
